Code,Ranking,Name,Population
STP,180,São Tomé and Principe,211
WSM,181,Samoa,196
LCA,182,St. Lucia,182
CHI,183,Channel Islands,170
GUM,184,Guam,166
CUW,185,Curaçao,160
KIR,186,Kiribati,116
FSM,187,"Micronesia, Fed. Sts.",113
GRD,188,Grenada,111
VCT,189,St. Vincent and the Grenadines,110
VIR,190,Virgin Islands (U.S.),107
ABW,191,Aruba,106
TON,192,Tonga,103
SYC,193,Seychelles,97
ATG,194,Antigua and Barbuda,96
IMN,195,Isle of Man,84
AND,196,Andorra,77
DMA,197,Dominica,72
CYM,198,Cayman Islands,64
BMU,199,Bermuda,64
MHL,200,Marshall Islands,58
MNP,201,Northern Mariana Islands,57
GRL,202,Greenland,56
ASM,203,American Samoa,55
KNA,204,St. Kitts and Nevis,52
FRO,205,Faroe Islands,48
SXM,206,Sint Maarten (Dutch part),41
MCO,207,Monaco,39
LIE,208,Liechtenstein,38
TCA,209,Turks and Caicos Islands,38
MAF,210,St. Martin (French part),37
SMR,211,San Marino,34
GIB,212,Gibraltar,34
VGB,213,British Virgin Islands,30
PLW,214,Palau,18
NRU,215,Nauru,13
TUV,216,Tuvalu,12
